Id_Equipament,Nom_Equipament,Tipus_Equipament,Te_Subseus,Id_Seu_Principal,Es_subseu_de,Es_seu_principal,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Entitat,Notes_Equipament,Latitud,Longitud
216,"Teatre Cúpula Arenas Barcelona","Sales d'arts escèniques",NO,,,1,03,Sants-Montjuïc,09,"la Nova Esquerra de l'Eixample","Titularitat privada","Global Exhibitions, S.L.",,41.37520013735237,2.1491028097093614
144,"Teatre del Raval","Sales d'arts escèniques",NO,,,1,01,"Ciutat Vella",01,"el Raval","Titularitat privada","Factoria Artípolis",,41.379373252,2.165215007
436,"Teatre Eòlia","Sales d'arts escèniques",NO,,,1,02,Eixample,07,"la Dreta de l'Eixample","Titularitat privada","Nova Eòlia",,41.39241326,2.17637066
165,"Teatre Gaudí Barcelona","Sales d'arts escèniques",SI,,,1,02,Eixample,06,"la Sagrada Família","Titularitat privada","Teatre de la Nau",,41.407429352,2.169502763
131,"Teatre Goya","Sales d'arts escèniques",NO,,,1,01,"Ciutat Vella",01,"el Raval","Titularitat privada","Serveis Escènics Goya. Grup Focus",,41.384184369,2.164671620
221,"Teatre Grec","Sales d'arts escèniques",NO,,,1,03,Sants-Montjuïc,11,"el Poble Sec","Ajuntament de Barcelona","Institut de Cultura. Ajuntament de Barcelona",,41.3695356,2.1598196
455,"Teatre La Biblioteca","Sales d'arts escèniques",NO,,,1,01,"Ciutat Vella",01,"el Raval","Titularitat privada","La Perla 29",,41.3807945,2.1700774
204,"Teatre Lliure","Sales d'arts escèniques",SI,,,1,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència administracions públiques","Fundació Teatre Lliure-Teatre Públic de Barcelona",,41.370647908,2.157431333
202,"Teatre Lliure (Gràcia)","Sales d'arts escèniques",NO,204,"Teatre Lliure",0,06,Gràcia,31,"la Vila de Gràcia","Consorci o fundació amb presència administracions públiques","Fundació Teatre Lliure-Teatre Públic de Barcelona",,41.402729880,2.156013379
480,"Teatre Metamorfosis","Sales d'arts escèniques",NO,,,1,03,Sants-Montjuïc,11,"el Poble Sec","Titularitat privada","Oracle Theatre","Antiga sala Oracles Theatre.",41.37414008982946,2.1645457980840037
153,"Teatre Nacional de Catalunya","Sales d'arts escèniques",SI,,,1,02,Eixample,05,"el Fort Pienc","Altres administracions públiques","Teatre Nacional de Catalunya. Generalitat de Catalunya",,41.399686263,2.186087865
132,"Teatre Poliorama","Sales d'arts escèniques",NO,,,1,01,"Ciutat Vella",01,"el Raval","Titularitat privada","Tres per 3",,41.384144463,2.170723150
133,"Teatre Romea","Sales d'arts escèniques",NO,,,1,01,"Ciutat Vella",01,"el Raval","Titularitat privada","Serveis Escènics Romea. Grup Focus",,41.380553512,2.171064836
247,"Teatre Tantarantana","Fàbriques de Creació",SI,,,1,01,"Ciutat Vella",01,"el Raval","Ajuntament de Barcelona","Tantarantana Teatre",,41.375938056,2.167361110
134,"Teatre Tívoli","Sales d'arts escèniques",NO,,,1,02,Eixample,07,"la Dreta de l'Eixample","Titularitat privada","Edificios y Espectáculos. Grup Balañá",,41.389052665,2.170720909
156,Teatreneu,"Sales d'arts escèniques",SI,,,1,06,Gràcia,31,"la Vila de Gràcia","Titularitat privada","Activitats & Realitats",,41.403252200,2.158562702
356,"Verdi Multicines",Cinemes,NO,,,1,06,Gràcia,31,"la Vila de Gràcia","Titularitat privada",Espectarama,,41.404163336,2.157212897
360,"Verdi Park",Cinemes,NO,,,1,06,Gràcia,31,"la Vila de Gràcia","Titularitat privada",Espectarama,,41.404433026,2.157664213
180,Vol,"Sales de música en viu",NO,,,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Titularitat privada",L'Afluent,,41.399440359,2.191159281
490,"Wolf Barcelona","Sales de música en viu",NO,,,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Titularitat privada","Otium Entertainment",,41.39609,2.18860
472,"Yelmo Cines Comedia",Cinemes,NO,,,1,02,Eixample,07,"la Dreta de l'Eixample","Titularitat privada","Yelmo Films",,41.38975,2.16768
361,"Yelmo Cines Icària",Cinemes,NO,,,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Titularitat privada","Yelmo Films",,41.390895879,2.197851326
34,"Zoo de Barcelona","Museus i col·leccions",NO,,,1,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Ajuntament de Barcelona","Barcelona de Serveis Municipals. Ajuntament de Barcelona",,41.386823,2.190346
362,"Zumzeig Cinecooperativa",Cinemes,NO,,,1,03,Sants-Montjuïc,15,Hostafrancs,"Titularitat privada","Zumzeig Cinecooperativa",,41.37736,2.14504
